[2025-10-21 23:25:38,990] INFO: [SPKUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,001] INFO: [ZBTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,012] INFO: [COMBOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,021] INFO: [CELOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,031] INFO: [PYTHUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,042] INFO: [YGGUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,051] INFO: [MYXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,060] INFO: [CRVUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,199] INFO: [ALGOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,531] INFO: [AMBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,560] INFO: [KASUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,574] INFO: [OMGUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,610] INFO: [XMRUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,620] INFO: [BNBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,629] INFO: [KLAYUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,680] INFO: [ENSOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,689] INFO: [HUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,698] INFO: [PROVEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,930] INFO: [DGBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,939] INFO: [SPXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,949] INFO: [AXSUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,958] INFO: [NEOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,967] INFO: [FETUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,978] INFO: [NILUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:39,987] INFO: [OMNIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,002] INFO: [NULSUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,078] INFO: [MEMEFIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,090] INFO: [MEMEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,101] INFO: [MDTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,111] INFO: [PENGUUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,133] INFO: [币安人生USDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,144] INFO: [BARDUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,154] INFO: [LAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,164] INFO: [UNFIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,173] INFO: [ENSUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,184] INFO: [UBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,197] INFO: [AUCTIONUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,208] INFO: [HANAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,218] INFO: [ALPACAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,230] INFO: [HBARUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,239] INFO: [ARCUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,249] INFO: [LEVERUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,260] INFO: [KERNELUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,269] INFO: [EVAAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,282] INFO: [VETUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,292] INFO: [EDUUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,303] INFO: [TRBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,316] INFO: [SIGNUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,328] INFO: [ETCUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,338] INFO: [ONDOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,353] INFO: [JUPUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,365] INFO: [HEMIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,376] INFO: [ARUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,386] INFO: [PNUTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,567] INFO: [NEARUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,803] INFO: [BONDUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,823] INFO: [SUSHIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,878] INFO: [NEWTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,888] INFO: [OPENUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:40,995] INFO: [ZENUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,004] INFO: [STXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,014] INFO: [1000PEPEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,024] INFO: [LOKAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,033] INFO: [WLDUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,044] INFO: [IOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,053] INFO: [TROYUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,064] INFO: [XANUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,076] INFO: [BBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,085] INFO: [REZUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,096] INFO: [TAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,104] INFO: [OCEANUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,117] INFO: [YBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,195] INFO: [ARKMUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,204] INFO: [JASMYUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,224] INFO: [ETHUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,442] INFO: [SEIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,454] INFO: [THETAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,469] INFO: [TRXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,480] INFO: [HIFIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,489] INFO: [COMPUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,501] INFO: [KEYUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,511] INFO: [STBLUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,520] INFO: [ATOMUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,532] INFO: [UNIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,543] INFO: [WLFIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,552] INFO: [WCTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,564] INFO: [VINEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,573] INFO: [XRPUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,582] INFO: [LISTAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,598] INFO: [SKYUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,609] INFO: [USELESSUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,621] INFO: [MIRAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,632] INFO: [LIGHTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,642] INFO: [IDOLUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,652] INFO: [FLOWUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,664] INFO: [SOMIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,673] INFO: [LDOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,682] INFO: [MERLUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,692] INFO: [PLUMEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,701] INFO: [SOLUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,711] INFO: [JTOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,721] INFO: [NOMUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,731] INFO: [DOTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:41,876] INFO: [APEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,003] INFO: [FILUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,181] INFO: [STOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,201] INFO: [ETHFIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,223] INFO: [TOWNSUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,249] INFO: [BATUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,260] INFO: [DYDXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,554] INFO: [IMXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,563] INFO: [TUTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,573] INFO: [2ZUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,583] INFO: [1000BONKUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,592] INFO: [SNXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,609] INFO: [STRAXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,619] INFO: [LUNA2USDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,631] INFO: [AVAXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,641] INFO: [POLUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,650] INFO: [TAOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,661] INFO: [PAXGUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,671] INFO: [CTSIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,681] INFO: [INUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,691] INFO: [1000FLOKIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,702] INFO: [POPCATUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,713] INFO: [1000SATSUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,723] INFO: [HYPEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,733] INFO: [INJUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,744] INFO: [SNTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,753] INFO: [ZORAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,771] INFO: [DOODUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,780] INFO: [SOLVUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,791] INFO: [PUMPUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,801] INFO: [RENDERUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,812] INFO: [SAHARAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,821] INFO: [MORPHOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,832] INFO: [FARTCOINUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,842] INFO: [KGENUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,851] INFO: [LYNUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,860] INFO: [DASHUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,870] INFO: [SYRUPUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,881] INFO: [MKRUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,892] INFO: [RAYSOLUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,901] INFO: [AEROUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,917] INFO: [ZEREBROUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,926] INFO: [GIGGLEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:42,935] INFO: [ARBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,080] INFO: [ZROUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,089] INFO: [BELUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,161] INFO: [BERAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,172] INFO: [KNCUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,372] INFO: [TWTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,400] INFO: [EIGENUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,411] INFO: [1MBABYDOGEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,454] INFO: [BCHUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,476] INFO: [ZECUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,511] INFO: [JELLYJELLYUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,556] INFO: [TRUTHUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,565] INFO: [DOGSUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,577] INFO: [ZKUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,587] INFO: [TAGUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,658] INFO: [TONUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,669] INFO: [XPINUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,681] INFO: [WALUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,691] INFO: [ATHUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,700] INFO: [FTMUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,712] INFO: [VFYUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,938] INFO: [TRUMPUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,948] INFO: [GRTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,958] INFO: [FORMUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,973] INFO: [LABUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,982] INFO: [STORJUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:43,991] INFO: [TIAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,001] INFO: [RSRUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,013] INFO: [WIFUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,023] INFO: [RVVUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,033] INFO: [DOGEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,044] INFO: [RIVERUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,053] INFO: [SANDUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,062] INFO: [LINEAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,071] INFO: [SUIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,083] INFO: [ORDERUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,092] INFO: [SLERFUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,101] INFO: [ASTERUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,111] INFO: [ALICEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,126] INFO: [BASUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,134] INFO: [TURBOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,145] INFO: [1000SHIBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,154] INFO: [UXLINKUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,164] INFO: [MLNUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,176] INFO: [BIOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,185] INFO: [GALAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,195] INFO: [FUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,205] INFO: [KDAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,215] INFO: [ZKCUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,312] INFO: [VIRTUALUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,321] INFO: [CAKEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,332] INFO: [STRKUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,341] INFO: [OGUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,351] INFO: [APTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,491] INFO: [AGIXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,565] INFO: [BSWUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,588] INFO: [METUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,616] INFO: [ENAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,625] INFO: [MANAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,634] INFO: [PEOPLEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,662] INFO: [NEIROETHUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,671] INFO: [0GUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,681] INFO: [ADAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,759] INFO: [OPUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,768] INFO: [MAGICUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,779] INFO: [OMUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,788] INFO: [PTBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,796] INFO: [LTCUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,807] INFO: [CLOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,816] INFO: [API3USDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,825] INFO: [SUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,835] INFO: [MOODENGUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,901] INFO: [SOONUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,921] INFO: [BTRUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,946] INFO: [CFXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,961] INFO: [KAVAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,969] INFO: [HUMAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,980] INFO: [ORDIUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,988] INFO: [FFUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:44,999] INFO: [BANUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:25:45,001] INFO: Обработано 266 тикеров, сигналов: 0
[2025-10-21 23:26:37,407] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-21 23:26:37,407] INFO: Запуск мониторинга...
[2025-10-21 23:26:37,731] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-21 23:26:37,732] INFO: Всего тикеров: 614, после фильтра по объёму (10000000.0): 275
[2025-10-21 23:26:37,733] INFO: Причины исключения тикеров: {'volume': 297, 'usdt': 42}
[2025-10-21 23:26:37,739] INFO: Всего тикеров после фильтра: 266
[2025-10-21 23:26:38,197] INFO: [FORMUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,247] INFO: [INUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,257] INFO: [AUCTIONUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,265] INFO: [BIOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,276] INFO: [1000LUNCUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,285] INFO: [FARTCOINUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,294] INFO: [OMUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,394] INFO: [CELOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,402] INFO: [HYPEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,411] INFO: [MYXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,420] INFO: [KLAYUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,430] INFO: [RENDERUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,438] INFO: [ALGOUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,447] INFO: [1MBABYDOGEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,456] INFO: [KAVAUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,465] INFO: [SNXUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,475] INFO: [TRBUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,483] INFO: [DOODUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,493] INFO: [POLUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,668] INFO: [BANKUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,676] INFO: [PNUTUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,688] INFO: [XMRUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,697] INFO: [ALICEUSDT] Нет сигнала. Нет сигнала
[2025-10-21 23:26:38,707] INFO: [ARBUSDT] Нет сигнала. Нет сигнала
